"NCM";"Descripción";"Peso Neto (Kg)";"Monto FOB en u$s"
"08044000";"Paltas(aguacates)";"s";"s"
"08055000";"Limones";"258.449.459,800";"160.851.067,74"
"08061000";"Uvas frescas";"4.495.778,600";"4.124.337,04"
"08071100";"Sandías frescas";"154.383,000";"18.895,00"
"08071900";"Melones frescos";"s";"s"
"08081000";"Manzanas frescas";"70.121.678,260";"46.841.682,14"
