"NCM";"Descripción";"Peso Neto (Kg)";"Monto FOB en u$s"
"08044000";"Paltas(aguacates)";"382.366,000";"843.756,02"
"08045020";"Mangos";"s";"s"
"08055000";"Limones";"273.357.204,000";"279.063.286,30"
"08061000";"Uvas frescas";"5.553.037,000";"7.630.854,75"
"08071100";"Sandías frescas";"788.620,000";"48.202,26"
"08071900";"Melones frescos";"81.850,000";"68.784,82"
"08081000";"Manzanas frescas";"96.216.794,000";"93.140.345,31"
